x y
327.7464 370.8151
331.7155 369.9183
333.2546 368.3693
335.0366 366.8203
335.6847 366.2497
337.7907 364.7007
337.7907 362.8256
336.2517 361.6027
335.6847 360.3799
334.1456 359.8092
334.1456 358.2602
335.3606 357.6895
336.8997 356.4666
338.3577 356.1405
339.8968 355.8144
339.8968 353.6948
340.5448 351.5751
341.1118 349.7001
342.0028 347.9065
342.3268 346.3575
342.6508 344.8085
344.1899 343.2596
345.4049 342.3628
346.8630 341.7921
349.05 341.1399
349.9410 339.3464
349.9410 337.4713
350.2650 334.6994
349.293 333.4765
348.726 332.5798
347.511 331.683
345.9719 331.0308
344.1899 333.2320
342.9749 335.3516
341.4358 335.6777
340.2208 335.6777
338.3577 335.3516
335.6847 336.2484
334.7126 337.7974
333.8216 337.7974
332.2826 337.4713
332.2826 335.3516
331.0675 334.6994
329.6095 334.6994
328.0705 334.4548
325.9644 334.4548
324.4254 332.2537
323.7773 330.7862
323.7773 329.2372
323.7773 327.1176
322.3193 326.1393
321.9953 324.6718
321.3473 323.4489
321.6713 321.5739
321.9953 320.351
323.5343 320.0249
324.9924 319.1281
326.8554 318.802
328.3945 317.9052
329.6095 317.3346
330.5005 316.1117
332.2826 314.8888
333.8216 313.6659
334.7126 311.7908
334.7126 310.5680
332.6066 310.2419
331.7155 308.7744
331.0675 308.1222
330.5005 306.8993
329.2855 305.6765
329.2855 304.4536
329.2855 303.2307
328.0705 301.6817
326.8554 301.1110
326.5314 299.5621
324.9924 298.3392
323.7773 297.1163
322.8863 294.9967
323.2103 292.877
324.1013 291.0019
325.9644 291.8987
327.1794 293.4477
328.9615 293.7738
330.5005 294.3444
331.3915 294.9967
332.0396 294.0999
332.0396 291.8987
331.3915 290.4312
329.6095 288.8823
329.6095 287.6594
327.7464 287.3333
326.2074 287.0072
324.1013 286.7626
322.5623 285.7843
321.1043 284.5614
318.6742 284.3168
317.4592 283.6646
316.8111 282.4418
317.1352 280.6482
317.4592 279.0992
318.3502 277.8764
319.8892 277.2242
321.1043 276.3274
321.6713 275.1045
323.2103 273.5555
324.9924 272.3326
326.2074 270.8652
327.1794 270.5391
328.9615 270.213
330.8245 270.213
332.9306 270.5391
334.4696 269.8869
333.4976 268.4194
332.6066 267.1966
332.0396 265.6476
331.3915 263.5279
330.8245 261.6528
332.6066 261.0822
330.8245 259.8593
329.6095 259.2071
328.0705 258.6364
326.8554 257.0874
326.5314 254.9678
324.9924 253.7449
324.4254 252.7666
323.7773 251.2991
323.7773 249.7502
325.3164 248.8534
323.7773 247.6305
322.3193 246.4076
322.5623 243.6358
323.5343 241.7607
323.5343 240.5378
323.2103 239.6410
324.1013 238.7443
324.4254 237.5214
324.7494 235.9724
324.9924 233.8528
324.9924 232.3038
327.1794 231.0809
327.4224 229.5319
328.6375 228.3090
328.9615 226.8416
329.6095 224.9665
330.8245 224.0697
331.3915 223.1730
332.0396 222.5208
332.0396 221.6240
333.4976 221.2979
335.3606 221.2979
336.5757 221.9501
337.7907 222.1947
337.7907 223.1730
339.0057 223.4175
341.1118 222.1947
342.3268 220.9718
343.2179 220.4011
344.1899 219.5043
345.0809 218.526
345.0809 217.3031
345.9719 216.4064
347.187 215.5096
348.078 214.2867
349.05 213.3899
350.2650 213.3899
352.3711 213.3899
353.5861 212.4116
353.9101 210.6181
353.5861 208.4984
352.9381 206.6233
352.3711 205.4005
352.3711 204.2591
353.9101 203.0362
353.2621 201.4873
352.0471 200.2644
352.0471 198.7154
351.7231 197.4925
351.7231 195.3729
352.9381 194.15
353.2621 192.601
352.9381 190.8075
352.9381 189.2585
