x y
565.8929 172.9534
568.566 173.8502
569.214 175.9699
572.211 175.6438
573.7501 176.2960
577.3952 175.9699
580.1493 175.6438
582.5793 175.3992
584.6854 175.0731
585.9004 173.8502
586.5484 171.9751
585.5764 170.7523
584.3614 170.5077
582.5793 171.4045
580.7163 170.7523
579.5012 169.5294
577.7192 168.6326
576.5042 168.3065
574.6411 167.7358
572.8591 166.8390
570.753 165.2901
572.535 164.3933
573.7501 166.1868
575.2891 166.8390
577.3952 167.4097
579.2582 168.0619
580.4733 168.9587
582.5793 169.2848
585.3334 168.6326
587.7635 167.4097
588.6545 169.2848
590.4365 171.7306
593.8386 171.0784
596.8357 170.5077
598.0507 170.1816
599.9138 168.9587
601.3718 167.4097
602.3439 165.8607
601.1288 164.3933
600.8048 162.5182
602.5869 162.1921
604.7739 162.1921
606.88 163.7411
608.095 163.7411
609.8771 164.3933
612.9551 164.6379
615.0612 164.9640
617.1673 166.5129
619.0303 166.1868
621.7844 165.8607
624.2145 166.8390
626.8875 167.4097
629.0746 167.4097
631.1806 167.4097
633.6107 168.0619
636.9318 168.6326
638.1468 165.2901
637.2558 164.3933
636.6078 162.1921
634.8257 161.9475
633.2867 161.2953
632.3957 160.3986
631.7477 158.5235
632.0717 156.4038
633.2867 153.9581
633.9347 152.4091
633.9347 150.2894
634.8257 148.4959
635.1497 146.2947
634.5017 143.2783
633.2867 141.1586
632.3957 139.2835
629.9656 138.0607
628.4266 136.8378
626.3205 136.2671
623.8904 135.941
622.3514 134.7181
619.5973 133.1691
616.6002 132.5985
613.5222 132.2724
612.0641 131.0495
610.2011 129.1744
608.662 127.7070
607.204 126.1580
605.989 124.9351
605.665 122.8154
604.7739 119.3914
605.665 117.2717
606.232 115.4782
606.556 113.6031
603.2349 113.9292
599.9138 115.1521
598.3748 115.4782
596.5117 116.0489
593.5146 116.3750
591.9756 115.4782
589.2215 112.0541
587.1155 111.1573
585.3334 109.6084
583.1463 108.3855
581.9313 107.4887
579.8253 106.5919
578.6102 105.9397
576.5042 105.3691
574.6411 105.0430
570.753 104.1462
568.323 103.4940
565.8929 103.2494
563.7058 101.7004
562.2478 99.82534
561.2758 98.03178
559.8177 97.135
557.6307 94.36315
555.5246 92.81417
553.0945 93.46637
551.3125 94.68925
548.8824 94.93383
547.0194 95.58603
544.9133 96.8089
542.4832 96.8089
539.4052 97.37958
536.0841 98.92856
533.654 100.1514
526.0398 101.3743
523.0427 102.0265
519.9646 102.2711
517.5346 101.7004
515.1045 100.4775
512.9984 99.58076
509.3533 98.60246
506.3563 98.60246
502.9542 98.35788
499.6331 98.60246
496.879 97.37958
493.2339 96.1567
491.1279 95.58603
489.6698 95.58603
487.8878 94.93383
486.0247 94.36315
485.7817 92.2435
484.5667 90.04232
483.0276 89.47164
481.4886 91.5913
480.2736 92.81417
478.1675 94.68925
476.0614 95.25993
475.7374 97.37958
477.5195 99.82534
477.8435 101.3743
476.0614 100.8036
475.0894 99.58076
473.8744 98.03178
472.4164 98.35788
