x y
331.4725 562.2362
329.6905 563.133
328.1515 562.8069
327.2604 561.584
326.2884 561.0134
325.0734 561.584
324.1823 561.9101
322.9673 562.5623
321.1853 562.5623
319.3222 562.2362
317.7832 562.2362
316.0011 562.8069
314.4621 563.4591
312.356 563.4591
311.141 563.133
309.2779 563.4591
307.8199 563.7852
307.4959 564.3559
305.6328 563.133
304.4178 561.9101
302.6358 561.584
300.7727 562.5623
299.8817 564.682
298.3426 565.9049
298.6667 563.4591
298.3426 562.2362
298.6667 560.6873
297.7756 559.1383
298.6667 557.3447
299.3147 556.1218
299.8817 554.5729
298.3426 553.6761
298.0996 552.7793
297.7756 551.5564
295.3456 551.5564
293.4825 552.1271
290.8094 552.4532
289.5944 552.7793
288.3794 551.2303
286.8403 550.0075
285.9493 549.1107
284.7343 550.9042
283.5192 552.7793
282.5472 552.7793
282.5472 551.2303
281.9802 549.6814
280.4412 549.1107
281.6562 548.1324
281.9802 546.9095
281.6562 545.6866
278.9021 544.4637
277.1201 543.2409
276.4721 542.9963
274.69 541.7734
272.5840 541.1212
270.7209 541.1212
268.2908 541.4473
266.7518 543.2409
267.7238 544.7898
268.6148 546.3388
268.2908 547.5617
267.7238 548.4585
266.5088 546.9095
265.8608 546.0127
265.2938 544.4637
265.2938 543.2409
265.2938 542.018
264.9697 540.7951
264.0787 542.3441
262.8637 542.018
261.6487 542.9963
260.1096 544.4637
259.2186 545.6866
258.2466 546.9095
258.0036 548.4585
258.0036 549.6814
258.5706 552.1271
257.6795 551.2303
256.1405 549.3553
254.3585 548.7846
253.1434 549.6814
251.9284 550.3336
250.7134 551.2303
248.5263 552.7793
247.3113 554.2468
246.7443 556.1218
246.4202 557.0186
245.2052 556.6925
245.2052 555.4696
244.6382 555.2251
243.6662 552.7793
243.9902 551.5564
244.3142 550.5781
244.6382 549.6814
245.2052 548.1324
246.4202 547.2356
247.6353 546.9095
248.5263 546.0127
249.1743 544.7898
248.2833 543.567
247.3113 542.6702
247.9593 541.7734
248.8503 540.7951
248.5263 539.8983
247.3113 539.0016
247.3113 537.4526
247.3113 536.2297
248.5263 535.0068
248.8503 534.4361
247.0683 533.2133
245.2052 531.9904
243.4232 531.9904
242.2081 532.8872
240.3451 534.11
239.4541 534.6807
238.5630 535.659
237.024 535.9036
236.1330 536.8819
235.8090 537.7787
234.5939 539.3277
233.9459 540.7951
232.4879 542.3441
231.8398 542.9963
230.0578 543.8931
229.0858 545.1159
228.5188 545.6866
227.3037 547.2356
226.0887 548.4585
224.5497 549.1107
222.7676 549.3553
220.9046 550.3336
220.5805 552.1271
219.3655 552.7793
217.9075 553.35
217.2595 554.0022
216.9354 552.1271
214.2624 551.5564
213.6144 550.5781
212.7233 550.0075
211.8323 549.3553
211.1843 548.7846
210.8603 547.5617
210.8603 545.442
211.1843 543.567
211.5083 542.3441
212.0753 541.4473
212.7233 539.5722
212.7233 538.3494
213.0473 537.4526
213.9384 536.5558
214.2624 535.3329
214.8294 533.7839
216.0444 532.8872
214.8294 532.235
214.8294 530.7675
214.8294 528.5663
215.7204 528.3218
215.7204 527.3434
214.2624 527.6696
213.0473 528.8924
211.8323 530.4414
210.2933 531.0121
209.9693 531.9904
209.6452 532.5611
209.6452 533.4578
209.4022 534.6807
210.2933 535.3329
209.9693 536.2297
209.6452 537.4526
209.6452 538.3494
208.4302 539.0016
207.8632 540.2244
207.5392 541.4473
207.8632 542.018
207.5392 542.9963
206.9722 545.1159
205.4331 545.6866
205.1091 546.9095
204.5421 547.2356
203.3271 548.1324
202.3551 549.1107
201.7880 550.0075
201.14 550.9042
200.249 552.1271
199.0340 553.35
199.0340 554.899
198.1429 556.6925
197.4949 557.6708
196.2799 559.1383
196.0369 561.9101
196.2799 563.7852
196.2799 565.9049
196.9279 567.1277
198.4669 569.5735
199.3580 570.4703
200.249 570.4703
200.897 570.4703
201.7880 571.1225
