x y
3 0
557.7927 319.7803
558.0292 318.7877
557.7954 317.5011
556.9189 317.1096
556.9189 316.0467
556.9189 314.5923
557.5617 313.7532
557.7954 312.6904
557.7954 312.2988
558.0292 311.0122
558.2629 309.9494
558.4382 308.495
558.4382 307.8796
558.2629 306.8168
558.2629 305.5861
558.2629 304.9149
558.2629 303.908
558.4382 302.8451
558.4382 301.7823
558.9057 300.7195
558.0292 299.4888
556.6852 298.426
556.0424 297.3631
555.3996 295.9087
554.7568 294.8459
554.7568 294.2305
554.7568 292.9999
554.523 291.7133
554.0556 290.4826
