x y
3 0
365.0074 197.1664
365.1931 200.2593
364.7256 200.7068
363.44 201.0984
362.5635 201.9375
362.7972 203.2241
363.44 203.8394
364.3165 203.8394
365.6021 203.2241
366.7124 202.7766
367.3552 202.6088
368.0564 202.6088
368.9329 202.6088
369.1082 203.6157
368.6992 204.2869
367.8226 204.9023
367.1799 206.3567
367.1799 207.1958
368.2317 208.0348
369.342 208.6502
371.095 208.4824
372.6143 207.8111
373.0818 207.8111
374.3674 207.4195
374.6011 208.4824
374.6011 209.3214
374.3674 211.1674
374.3674 211.8387
374.6011 213.0693
374.6011 213.6847
374.8349 215.195
376.1204 216.0341
376.8217 216.2019
377.8735 216.2019
378.1072 216.8732
377.8735 217.7123
377.6982 218.7192
377.8735 218.9429
378.1072 219.3904
378.75 219.782
378.9838 220.2295
378.9838 221.0686
379.6265 221.2364
380.5031 221.4602
381.3796 221.9077
381.3796 222.7468
381.3796 223.7537
381.6133 224.8165
380.9706 225.264
380.5031 225.4318
379.8603 225.8794
379.6265 226.2709
380.094 226.7184
380.094 227.3338
379.8603 227.5575
378.9838 227.7813
378.341 228.6204
378.5747 229.4595
379.2175 230.4664
378.9838 230.6901
378.9838 231.3054
378.75 231.9767
378.341 232.3683
377.8735 233.2074
377.4644 233.6549
376.997 234.494
376.3542 235.1093
375.4776 235.5009
375.9451 237.0112
376.3542 237.6265
376.8217 238.0181
378.341 238.6894
378.341 239.0809
378.5747 239.92
378.341 240.9829
378.341 241.5982
377.8735 242.8848
377.8735 243.2764
377.8735 243.5001
377.4644 244.1154
377.2307 244.9545
376.8217 246.0174
376.8217 246.4089
376.8217 247.0802
376.8217 247.9193
376.8217 248.7584
376.997 249.1499
377.2307 249.5975
377.2307 250.4365
376.997 251.0519
376.3542 251.4434
375.7114 251.891
374.6011 252.73
374.3674 253.1216
374.3674 254.632
374.3674 255.471
375.0686 256.3101
375.2439 256.4779
375.2439 256.9255
375.0686 257.7645
374.1921 258.6036
373.9583 259.4427
374.1921 260.2818
374.1921 260.8971
374.3674 261.7362
374.8349 262.799
375.0686 263.1906
375.4776 264.2535
375.7114 264.8688
375.4776 265.3163
375.0686 266.547
374.8349 266.7707
374.8349 267.6098
375.7114 269.288
376.1204 269.9033
376.5879 270.3508
377.4644 270.9661
