x y
1 0
147.1116 755.3694
148.6506 755.3694
150.4326 753.902
151.0807 753.2498
151.6477 752.0269
152.8627 750.804
153.5107 749.0104
154.0777 747.4615
155.2928 746.5647
155.9408 745.5864
156.1838 744.3635
157.1558 742.57
157.3988 741.021
159.2619 740.1242
161.6920 740.1242
163.231 740.4503
165.0130 739.472
166.8761 738.9013
168.0911 738.0045
169.5492 737.0262
171.9792 735.8034
173.5183 734.0098
174.1663 732.787
175.3813 731.564
175.9483 730.0151
175.3813 727.5693
173.8423 728.4661
173.5183 729.4444
173.1943 727.8954
173.8423 726.9986
173.8423 725.1236
171.7362 725.1236
171.7362 726.6725
170.7642 727.2432
170.1972 726.0203
168.9822 724.7975
168.6581 724.2268
168.0911 723.5746
169.8732 724.2268
171.4122 724.7975
172.3032 724.2268
172.3032 723.33
171.4122 722.3517
171.0882 721.455
170.5212 720.8843
169.5492 720.232
168.0911 719.6614
166.5521 719.0092
165.3371 718.1124
163.798 717.7863
162.0160 717.7863
160.8009 717.7863
162.5830 719.6614
162.5830 720.8843
162.2590 721.781
160.8009 722.1071
159.8289 720.5582
159.2619 719.6614
157.7228 718.6831
155.9408 718.4385
155.2928 718.4385
154.0777 718.1124
152.8627 717.4602
151.3237 716.8895
148.8936 716.2373
147.4356 716.2373
145.5725 716.2373
144.0335 715.3405
142.8184 715.9927
141.6034 716.2373
140.7124 716.2373
139.1733 716.5634
138.2823 715.9927
137.3913 714.7699
134.9612 714.4438
132.5312 715.9927
131.3161 716.8895
130.1011 718.1124
130.6681 719.3353
130.4251 720.5582
128.8861 720.8843
127.6710 720.232
127.6710 721.455
128.5621 722.3517
130.1011 722.6778
131.6401 722.3517
133.0982 722.1071
134.9612 722.3517
135.5282 722.6778
136.5003 721.1288
137.0673 720.232
137.7153 719.6614
139.1733 719.906
139.8214 721.781
141.6034 721.455
143.1425 720.8843
145.0055 720.8843
146.7876 721.781
148.3266 722.1071
150.1086 722.6778
151.6477 723.33
152.8627 724.7975
154.0777 725.1236
154.4018 726.3464
153.1867 727.2432
151.0807 726.0203
149.8656 725.7758
148.8936 724.7975
147.6786 724.5529
145.8965 724.5529
144.0335 723.9007
142.5754 723.33
141.3604 724.5529
141.3604 725.7758
141.9274 727.2432
143.1425 728.2215
144.3575 728.7922
145.5725 729.4444
145.8965 731.564
146.4635 732.1347
147.4356 732.4608
150.1086 732.787
152.5387 733.113
154.0777 734.9066
154.7258 736.1295
154.7258 737.6784
153.7537 738.5752
152.8627 738.0045
151.6477 737.0262
150.4326 736.1295
148.8936 735.5588
147.4356 736.1295
146.2205 736.7817
145.8965 738.2491
145.0055 738.9013
143.7905 739.472
143.1425 741.021
142.2514 741.9178
140.7124 741.9178
139.4974 741.9178
137.9583 743.1406
136.5003 742.896
135.8523 743.1406
135.5282 745.0157
136.5003 745.9125
136.5003 747.1354
137.3913 747.7876
136.7433 748.3582
135.8523 749.0104
135.8523 750.804
137.3913 751.4562
137.7153 751.7008
138.2823 752.0269
139.8214 752.0269
140.7124 751.4562
142.2514 750.2333
142.8184 749.0104
143.4665 747.7876
145.0055 748.6843
143.7905 750.2333
142.5754 751.4562
142.2514 753.2498
143.4665 755.1248
144.6815 755.3694
145.2485 755.3694
146.4635 755.3694
147.1116 755.3694
