x y
141.6034 874.0701
142.8184 872.8472
144.3575 872.8472
144.9245 874.0701
146.1395 873.1733
145.8155 871.6243
147.0306 870.7276
147.6786 868.934
148.8936 867.7111
148.8936 866.4883
148.8936 865.51
150.1086 864.9393
151.6477 864.0425
152.2147 862.4935
152.8627 860.9445
154.0777 859.3956
154.0777 856.3791
153.4297 855.4824
153.1057 854.504
152.5387 853.2812
153.1057 852.0583
153.1057 850.2647
153.1057 849.0419
152.2147 848.3897
151.8907 846.5961
152.5387 845.3732
152.8627 844.4765
152.5387 842.9275
151.3237 842.0307
150.1086 841.0524
149.2176 839.8295
148.5696 838.6066
150.6757 839.585
151.8907 839.8295
152.8627 838.9327
152.8627 837.7099
152.5387 836.487
152.5387 835.2641
153.4297 833.4705
154.0777 832.4922
154.9688 831.2694
154.6448 830.0465
152.8627 830.0465
152.2147 829.1497
151.6477 827.6007
153.7537 827.9268
154.0777 829.1497
155.5358 829.1497
156.7508 829.1497
158.2899 828.8236
158.9379 827.9268
157.9659 826.704
157.3988 825.8072
156.7508 825.481
156.1838 825.155
157.0748 824.5843
158.9379 825.155
160.3959 825.481
161.3679 824.2582
162.5830 823.9321
163.474 823.6875
165.5801 823.0353
166.2281 821.4863
166.7951 820.5896
168.6581 820.9157
169.8732 821.4863
170.4402 822.1385
172.3032 823.0353
173.7613 823.0353
175.3003 823.0353
177.4064 823.0353
178.6214 822.1385
178.9454 820.5896
179.5934 819.6928
179.5934 818.796
179.2694 817.5731
178.3784 816.3503
177.7304 815.698
176.8394 814.8013
176.1913 814.4752
175.6243 813.9045
174.4093 813.2523
173.7613 812.9262
172.5462 812.9262
171.9792 812.9262
171.6552 811.7033
171.6552 810.4804
171.0882 809.5837
171.0882 808.3608
170.7642 806.8118
169.5492 806.5672
168.9011 806.5672
168.3341 806.5672
167.4431 806.5672
167.1191 805.589
166.7951 804.1215
165.5801 802.8986
165.5801 801.9203
165.0130 800.6974
164.0410 800.1267
163.474 799.4745
162.5830 798.9039
161.6110 798.2517
160.3959 798.0071
158.9379 797.3549
157.0748 797.3549
155.8598 798.2517
156.7508 799.4745
156.7508 801.3496
157.0748 802.2464
158.2899 802.8986
160.1529 804.366
159.5049 805.915
159.1809 806.5672
158.9379 808.3608
160.7199 809.2576
161.6110 810.2359
162.2590 811.1326
163.15 811.7033
164.6890 812.0294
166.4711 812.0294
168.0101 812.3555
168.6581 813.5784
168.6581 814.4752
167.1191 814.8013
165.2560 814.4752
163.798 813.9045
162.826 813.5784
161.6110 813.5784
160.1529 813.9045
159.8289 815.372
159.5049 816.5948
158.9379 817.8177
157.9659 818.796
157.7228 817.5731
157.3988 816.5948
157.0748 815.372
157.0748 814.149
156.7508 813.5784
156.1838 812.9262
155.5358 811.7033
155.2928 810.8065
155.2928 810.4804
154.6448 809.5837
154.0777 808.6869
152.8627 809.2576
151.6477 810.8065
152.5387 812.0294
152.5387 813.5784
152.5387 815.1274
151.3237 815.372
150.4326 815.698
149.4606 815.698
148.8936 814.8013
148.8936 812.9262
148.2456 812.0294
148.0026 811.1326
147.0306 811.1326
146.7876 810.2359
145.8155 809.9098
144.9245 810.2359
144.0335 812.3555
144.9245 812.6816
145.5725 812.9262
147.0306 812.9262
146.7876 814.4752
145.2485 814.8013
144.0335 814.8013
143.1425 814.149
142.4944 814.149
141.6034 813.5784
140.7124 813.9045
141.6034 815.698
141.6034 816.5948
141.2794 817.247
140.3884 816.921
139.4974 816.0242
138.8493 816.0242
137.6343 816.921
136.7433 818.4699
136.7433 819.3667
136.4193 820.5896
137.3103 821.2418
138.5253 821.4863
139.1733 823.0353
138.2823 823.0353
137.3103 822.4646
135.8523 821.8124
135.2042 821.8124
134.3132 823.0353
133.6652 824.2582
133.0982 825.481
133.0982 826.1333
132.4502 827.03
131.8831 827.3562
131.5591 828.579
131.5591 830.0465
132.4502 830.3726
133.6652 831.5955
135.8523 831.9216
136.0953 831.9216
137.6343 831.0248
138.8493 830.0465
138.5253 829.1497
139.7404 828.253
140.7124 827.6007
141.6034 827.6007
141.6034 828.8236
140.0644 830.3726
139.1733 831.0248
