x y
1 0
323.1128 1014.7731
323.7014 1016.5487
323.7014 1018.9161
323.1128 1021.4809
322.5243 1023.8483
322.132 1026.413
326.0554 1029.5696
327.6248 1031.1479
332.1368 1029.7669
334.0985 1028.7805
336.845 1027.5967
339.3952 1026.6103
340.7684 1026.0184
340.7684 1024.4402
341.9455 1022.8619
343.1225 1021.2836
342.7301 1019.1134
340.5722 1018.5216
339.7875 1016.3514
338.6105 1015.5623
337.0411 1013.984
336.845 1013.1948
338.4143 1012.4057
340.3761 1013.3921
341.3569 1014.5758
342.9263 1013.5894
343.711 1012.9975
345.2804 1012.0111
346.2613 1013.5894
347.2421 1014.7731
348.0268 1013.5894
349.0077 1011.8138
349.5962 1009.4464
350.1847 1010.2355
351.3618 1012.603
353.3235 1011.6165
354.3044 1011.6165
355.4814 1011.222
354.3044 1009.4464
354.8929 1008.0654
356.0699 1007.2762
358.6202 1009.2491
360.1895 1010.0382
360.5819 1007.6708
359.4048 1005.8952
359.0125 1004.1196
355.8737 1003.5278
354.3044 1002.5414
353.1273 1001.5549
351.7541 999.3848
350.1847 1000.3712
348.223 1001.3576
346.4574 1001.5549
344.888 1003.7251
344.6919 1006.2898
344.1034 1008.0654
342.9263 1008.6572
340.9646 1007.6708
340.5722 1007.0789
339.0029 1006.4871
336.845 1005.6979
334.4909 1004.7115
331.7445 1004.3169
329.5866 1005.6979
328.6057 1007.8681
328.8019 1010.6301
326.4478 1011.222
326.0554 1009.6437
324.4861 1009.0518
323.309 1010.0382
322.132 1010.6301
321.5435 1012.4057
321.9358 1014.1813
323.1128 1014.7731
