x y
1 0
90.36225 16.59213
90.89715 16.9463
90.89715 17.28361
91.19047 17.23301
91.6736 16.99690
91.79438 16.82824
91.96693 16.65959
92.38104 16.59213
92.74338 16.59213
92.98495 16.82824
93.20925 16.9463
93.45082 16.9463
93.86493 16.76078
94.05473 16.59213
94.34805 16.71019
94.34805 16.42348
94.1065 16.30542
93.69238 16.18737
93.51984 16.06931
93.39905 15.95125
93.33004 15.78260
92.86416 15.78260
92.74338 15.83320
92.38104 15.83320
92.32927 15.66455
92.0877 15.59708
91.79438 15.54649
91.60458 15.95125
91.4838 16.01871
91.19047 16.18737
90.89715 16.35602
90.7246 16.47408
90.36225 16.59213

