x y
2 0
196.2521 787.1221
196.9378 788.2868
198.6749 788.1076
200.3663 788.1076
201.7377 788.2868
202.6062 788.4659
203.6119 788.6003
204.4804 788.6003
205.8518 788.2868
207.0403 788.1076
208.2746 788.1076
208.5946 787.9284
209.4631 787.9284
210.6517 787.794
211.7031 787.2565
212.023 786.7637
212.8916 786.271
213.8973 785.7783
214.9487 785.5991
215.8172 784.9272
215.6344 784.0761
214.4458 783.5833
212.7087 783.4041
212.3888 784.2552
212.023 784.748
211.3374 785.2407
210.4688 785.7783
209.4631 785.9126
207.5889 785.9126
206.3547 785.9126
204.9833 786.0918
203.9776 786.0918
203.109 786.271
201.7377 786.5846
200.1834 786.5846
199.3606 786.5846
198.6749 786.5846
197.9892 786.5846
196.6178 786.271
196.0693 786.5846
196.2521 787.1221
