x y
2 0
189.2123 700.0861
189.578 700.758
191.2694 701.1164
192.3208 702.1019
193.3265 702.7738
194.195 703.4457
195.3836 704.476
196.0693 704.9687
197.1207 705.9542
197.8064 706.9845
197.9892 708.6419
198.3092 710.1649
200.5491 711.8671
200.732 712.3598
200.732 713.7037
201.4177 714.8683
202.2405 716.2122
203.4747 717.0633
204.9833 717.7352
206.2175 718.2279
208.0917 720.0645
208.4117 721.274
208.7774 722.7522
207.2232 724.096
207.5889 724.6336
208.7774 724.2752
209.2803 723.7825
209.966 723.1106
210.6517 722.7522
211.3374 722.6178
212.3888 723.2897
212.8916 723.9617
213.0744 724.4544
213.7601 724.9471
214.263 723.9617
213.7601 723.1106
213.5773 722.0803
213.7601 721.274
212.8916 719.9301
212.3888 719.751
210.8345 719.079
209.7831 719.2582
208.9603 718.2279
208.5946 718.0488
207.726 717.7352
206.9032 717.2425
206.7204 716.7049
205.669 716.2122
204.6633 715.8986
203.9776 715.3611
203.2919 715.0475
203.109 714.6892
202.9262 714.3756
202.4234 713.7037
202.2405 713.0318
202.1034 712.0015
201.9205 711.1952
201.2348 710.5233
200.732 709.8513
200.1834 709.1794
199.4977 707.97
199.4977 707.2981
199.1777 706.6261
198.812 705.6406
198.6749 704.7896
197.4407 703.8041
196.435 702.953
195.0636 702.5946
194.195 701.7883
193.5093 701.43
192.6408 700.9372
191.6351 700.2653
190.5837 699.7726
189.0752 699.4142
188.8924 700.0861
189.2123 700.0861
