x y
2 0
232.5938 713.5245
232.9595 712.1807
232.7767 711.5087
233.2795 710.5233
233.0967 709.3138
232.9595 708.6419
232.5938 708.1491
232.411 707.6564
232.2738 707.1637
232.091 706.4917
232.411 705.8198
232.9595 705.2823
233.4624 704.476
233.0967 703.6249
232.5938 703.4457
232.411 702.4602
232.7767 702.2811
233.0967 701.7883
233.6452 700.9372
233.9652 700.5789
234.3309 699.9069
234.4681 699.4142
234.8338 698.7423
235.0166 697.8912
235.3366 696.413
235.5195 695.8754
235.5195 694.8899
235.7023 694.218
236.708 694.0388
237.0737 693.3669
236.8908 693.0534
236.8908 692.2023
236.708 691.8439
236.708 691.3512
237.0737 690.8584
237.3937 690.3657
237.0737 689.6938
236.708 689.3354
236.708 688.8427
236.8908 688.4843
236.8908 687.8124
237.0737 687.1405
237.2108 686.3342
237.2108 685.7966
237.5765 685.1247
237.8965 684.632
237.7594 683.7809
237.8965 682.9746
238.0794 682.3026
238.5822 681.7651
238.9479 681.6307
239.2679 681.2724
239.8165 680.2869
241.005 680.2869
241.6907 681.0932
241.6907 682.1235
241.5078 682.7954
241.5078 683.2881
242.0107 684.1392
243.0621 684.632
243.3821 684.9903
243.7478 684.8111
244.4335 685.3039
244.4335 686.3342
245.1191 686.3342
244.7534 687.4988
244.4335 687.9916
244.0678 689.0218
243.9306 689.6938
243.2449 690.5001
242.8792 690.8584
241.8735 691.7095
241.5078 692.0231
241.005 692.5158
240.6393 692.8742
240.5022 693.1877
239.8165 693.5461
239.2679 693.7253
238.4451 694.218
238.0794 694.5316
237.7594 695.0691
237.2108 695.8754
236.8908 696.413
236.708 696.9057
236.708 697.3984
236.5251 698.0704
236.708 698.4287
236.708 699.1006
236.5251 699.4142
236.0223 699.9069
235.5195 700.5789
235.0166 701.43
235.0166 701.9227
235.3366 702.1019
235.1537 703.1321
235.3366 703.9385
235.1537 704.9687
235.0166 705.4615
234.8338 706.1334
234.8338 706.9845
235.1537 708.6419
234.8338 709.8513
234.8338 710.6576
234.3309 711.6879
234.1481 711.8671
235.3366 712.1807
234.8338 713.0318
233.9652 713.8829
233.0967 713.7037
232.5938 713.5245
