x y
1 0
450.0368 1170.6294
451.2138 1171.6158
452.3909 1172.9968
451.8023 1173.5887
449.8406 1173.786
448.075 1172.405
447.4865 1171.4185
446.898 1170.4321
445.9171 1169.0511
444.9363 1169.8403
443.3669 1169.643
441.7975 1168.8538
440.4243 1168.6565
441.209 1169.8403
443.3669 1171.2213
444.5439 1172.9968
445.5248 1174.7724
444.5439 1175.7588
443.5631 1176.3507
443.1707 1177.7317
441.6013 1179.1127
439.8358 1178.3236
439.0511 1176.9426
438.2664 1175.3643
438.6587 1172.6023
436.697 1172.0104
436.3439 1173.5492
437.2855 1178.3236
436.697 1179.31
436.8932 1181.2829
435.52 1182.072
433.3621 1182.072
434.9315 1183.6503
436.3047 1184.0449
437.0894 1185.6232
437.2855 1187.2015
435.9123 1187.9906
436.697 1189.1743
437.4817 1190.9499
437.4817 1193.3173
436.5008 1194.6983
434.9315 1193.3173
433.5582 1191.9363
431.7927 1192.1336
430.0271 1191.739
429.6348 1189.3716
429.2424 1187.2015
427.0845 1186.0177
426.6922 1184.834
427.6731 1183.453
428.4577 1182.072
430.4195 1181.0856
431.5965 1180.8883
429.6348 1179.5073
428.6539 1180.0991
426.1037 1182.072
425.5152 1184.2422
424.7305 1186.0177
422.9649 1184.6367
423.3572 1182.4666
422.9649 1180.2964
421.0032 1180.2964
419.4338 1179.7046
418.6491 1178.1263
419.63 1176.7453
421.1993 1176.1534
422.9649 1176.548
423.9458 1177.5344
425.7113 1177.929
427.4769 1177.1398
427.6731 1175.7588
429.0463 1174.5751
429.0463 1172.7995
429.0463 1170.8267
430.2233 1170.0375
431.9889 1170.2348
433.5582 1170.4321
434.3429 1168.6565
434.9315 1166.2891
435.9123 1165.6972
438.0702 1165.6972
438.8549 1164.9081
438.0702 1163.9217
436.697 1163.1325
435.3238 1162.3434
434.7353 1161.5542
434.9315 1159.3841
434.7353 1157.6085
433.5582 1158.7922
432.3812 1160.1732
430.8118 1160.7651
429.831 1160.1732
430.0271 1158.5949
428.6539 1157.6085
428.2616 1156.0302
427.4769 1157.4112
427.0845 1158.7922
426.1037 1158.9895
424.5343 1158.0031
423.7496 1157.4112
422.7687 1156.6221
422.1802 1157.8058
421.0032 1158.3976
419.2376 1157.8058
418.4529 1157.4112
416.6874 1157.2139
416.0988 1156.2275
416.295 1155.0438
415.5103 1154.4519
415.9027 1153.0709
416.6874 1150.9008
416.8835 1149.717
417.8644 1149.1252
418.2567 1147.9415
420.4147 1147.5469
421.7879 1148.9279
423.1611 1149.1252
423.7496 1147.9415
424.9266 1147.7442
