x y
2 0
280.5789 264.989
279.5271 265.2128
278.6506 266.2756
277.774 266.6672
277.5403 267.1147
276.1963 267.5063
275.5535 267.9538
274.0342 268.3454
272.6902 269.4082
272.2811 270.471
272.2811 271.4779
272.6902 271.7017
273.5667 271.7017
274.4432 271.0864
274.677 270.471
275.3197 270.2473
276.021 270.0235
277.3065 269.7998
277.774 269.7998
278.6506 269.1845
279.0596 268.5691
279.5271 267.5063
279.9361 266.891
280.4036 266.4434
280.5789 266.4434
281.0464 267.5063
281.0464 268.5691
280.8127 269.632
280.4036 270.6389
279.7024 271.0864
279.5271 271.7017
279.2933 272.317
279.2933 273.8274
280.4036 274.6665
281.0464 275.8971
282.332 275.8971
281.9229 274.8343
281.9229 273.9952
280.8127 273.1561
280.8127 272.7645
281.6892 272.317
282.5657 271.7017
283.0332 271.3101
283.2085 270.0235
284.085 269.1845
284.7862 268.7929
285.1953 267.5063
284.085 267.2825
283.676 266.891
283.676 266.2756
283.4422 265.4365
282.1567 264.989
281.4554 264.989
280.8127 264.989
280.5789 264.989
