x y
1 0
392.7321 1185.3405
401.1687 1193.0941
401.1687 1200.4784
405.7951 1199.3708
413.4152 1194.2017
415.3202 1190.5096
418.0417 1186.8174
424.5732 1185.3405
430.2882 1185.3405
434.0983 1190.5096
437.6361 1193.0941
441.4462 1193.0941
447.9777 1189.0327
450.9713 1185.3405
455.5977 1187.925
455.5977 1181.6484
451.7877 1179.0639
445.2562 1176.4793
442.5348 1173.8948
440.6297 1171.3103
439.5412 1167.6182
432.1932 1167.6182
430.2882 1168.7258
424.5732 1168.7258
423.7567 1165.0336
419.9467 1163.5568
415.3202 1162.4491
412.3266 1171.3103
410.4216 1172.7872
405.7951 1176.4793
401.1687 1180.1715
398.4472 1182.756
397.3586 1186.8174
