x y
1 0
346.7396 1184.2329
353.2711 1177.587
358.9861 1173.8948
362.7961 1170.2027
365.5176 1166.1413
367.4226 1161.3415
372.8655 1159.8646
377.7641 1161.3415
382.3906 1161.3415
386.2007 1159.8646
385.1121 1152.1111
383.2071 1148.4189
380.4856 1142.1422
377.7641 1139.5577
381.302 1135.8655
383.2071 1131.8042
380.4856 1128.112
375.8591 1126.6351
372.0491 1121.8353
369.3276 1115.1894
364.429 1116.6663
361.7076 1122.943
361.7076 1131.8042
358.9861 1139.5577
355.9925 1142.1422
354.0875 1145.8344
354.0875 1153.5879
352.4546 1161.3415
350.5496 1167.6182
348.6446 1177.587
351.366 1181.6484
